@RELATION activityRelation

@ATTRIBUTE orientation numeric
@ATTRIBUTE soundPredictionResult numeric
@ATTRIBUTE wifiPredictionResult numeric
@ATTRIBUTE hour numeric
@ATTRIBUTE activity {Bathroom,Midnightsnack,Cooking,Lunch,Dinner,Chopping,Washinginbathroom,Washingdishes,Breakfast}

@DATA
0,?,4,19,Dinner
0,?,4,19,Dinner
0,6,4,20,Dinner
0,6,4,20,Dinner
0,2,4,19,Dinner
0,2,4,19,Dinner
7,1,4,19,Dinner
7,1,4,19,Dinner
7,6,4,19,Dinner
7,6,4,19,Dinner
7,0,4,19,Dinner
7,0,4,19,Dinner
7,1,4,20,Dinner
7,1,4,20,Dinner
0,5,4,18,Dinner
0,5,4,18,Dinner
7,6,4,18,Dinner
7,6,4,18,Dinner
0,5,4,18,Dinner
0,5,4,18,Dinner
0,15,4,19,Dinner
0,15,4,19,Dinner
7,15,4,18,Dinner
7,15,4,18,Dinner
0,?,4,19,Dinner
0,?,4,19,Dinner
0,?,4,19,Dinner
0,?,4,19,Dinner
7,6,4,19,Dinner
0,6,4,19,Dinner
0,5,4,19,Dinner
0,7,4,19,Dinner
7,7,4,19,Dinner
0,0,4,18,Dinner
0,0,4,18,Dinner
0,0,4,18,Dinner
0,0,4,18,Dinner
0,0,4,19,Dinner
0,0,4,19,Dinner
0,0,4,19,Dinner
0,0,4,19,Dinner
0,0,4,19,Dinner
0,0,4,19,Dinner
0,0,4,19,Dinner
0,0,4,19,Dinner
0,0,4,21,Dinner
0,0,4,21,Dinner
0,0,4,21,Dinner
0,0,4,21,Dinner
0,0,4,22,Dinner
0,0,4,22,Dinner
0,0,4,22,Dinner
7,0,4,22,Dinner
7,6,4,16,Dinner
7,15,4,16,Dinner
7,15,4,16,Dinner
7,6,4,17,Dinner
0,6,4,17,Dinner
7,7,4,17,Dinner
7,7,4,17,Dinner
0,14,4,20,Dinner
0,14,4,20,Dinner
0,14,4,22,Dinner
7,14,4,22,Dinner
7,7,4,22,Dinner
7,7,4,22,Dinner
7,2,4,19,Dinner
7,2,4,19,Dinner
0,6,4,18,Dinner
0,6,4,18,Dinner
0,5,4,18,Dinner
0,5,4,18,Dinner
0,7,4,18,Dinner
0,7,4,18,Dinner
0,7,4,18,Dinner
0,7,4,18,Dinner
0,6,4,20,Dinner
0,6,4,20,Dinner
0,7,4,20,Dinner
0,7,4,20,Dinner
0,15,4,20,Dinner
0,15,4,20,Dinner
0,7,4,20,Dinner
